WP_115020492.1	WP_115020492.1
WP_115217771.1	WP_115217771.1
WP_116186563.1	WP_116186563.1
WP_118785396.1	WP_118785396.1
WP_119008971.1	WP_119008971.1
WP_119788874.1	WP_119788874.1
WP_119788874.1	WP_148537365.1
WP_121480522.1	WP_121480522.1
WP_122027384.1	WP_122027384.1
WP_122300084.1	WP_122300084.1
WP_122688193.1	WP_122688193.1
WP_122688193.1	WP_122740320.1
WP_122688193.1	WP_217663379.1
WP_122984301.1	WP_122984301.1
WP_122984301.1	WP_142977705.1
WP_122984301.1	WP_193148861.1
WP_122984301.1	WP_196089522.1
WP_122999733.1	WP_122999733.1
WP_122999733.1	WP_139988961.1
WP_122999733.1	WP_152650717.1
WP_122999733.1	WP_162887379.1
WP_122999733.1	WP_165458328.1
WP_122999733.1	WP_222680981.1
WP_123058143.1	WP_123058143.1
WP_123058143.1	WP_061091162.1
WP_123058143.1	WP_181237162.1
WP_123193195.1	WP_123193195.1
WP_123193195.1	WP_123229753.1
WP_123193195.1	WP_123261008.1
WP_123193195.1	WP_124053833.1
WP_123193195.1	WP_126462261.1
WP_123193195.1	WP_126490163.1
WP_123193195.1	WP_129317557.1
WP_123193195.1	WP_129766163.1
WP_123193195.1	WP_130941300.1
WP_123193195.1	WP_130987945.1
WP_123193195.1	WP_133258019.1
WP_123193195.1	WP_136547169.1
WP_123193195.1	WP_137438777.1
WP_123193195.1	WP_137910613.1
WP_123193195.1	WP_139154891.1
WP_123193195.1	WP_139157002.1
WP_123193195.1	WP_139157055.1
WP_123193195.1	WP_139789921.1
WP_123193195.1	WP_140404863.1
WP_123193195.1	WP_141399614.1
WP_123193195.1	WP_141401588.1
WP_123193195.1	WP_142293028.1
WP_123193195.1	WP_142472079.1
WP_123193195.1	WP_142668813.1
WP_123193195.1	WP_142669697.1
WP_123193195.1	WP_142761807.1
WP_123193195.1	WP_142915422.1
WP_123193195.1	WP_142996440.1
WP_123193195.1	WP_147441377.1
WP_123193195.1	WP_148673703.1
WP_123193195.1	WP_148674143.1
WP_123193195.1	WP_148677382.1
WP_123193195.1	WP_153001985.1
WP_123193195.1	WP_153677567.1
WP_123193195.1	WP_154816646.1
WP_123193195.1	WP_157796010.1
WP_123193195.1	WP_164123663.1
WP_123193195.1	WP_172871659.1
WP_123193195.1	WP_192464301.1
WP_123193195.1	WP_196345036.1
WP_123193195.1	WP_196550631.1
WP_123193195.1	WP_199980141.1
WP_123193195.1	WP_200036220.1
WP_123193195.1	WP_200539811.1
WP_123193195.1	WP_202861532.1
WP_123193195.1	WP_205924737.1
WP_123193195.1	WP_208514678.1
WP_123193195.1	WP_210467571.1
WP_123193195.1	WP_214163710.1
WP_123193195.1	WP_219249009.1
WP_123193195.1	WP_219940470.1
WP_123193195.1	WP_221922705.1
WP_123193195.1	WP_224256794.1
WP_123193195.1	WP_226329466.1
WP_123237188.1	WP_123237188.1
WP_123422835.1	WP_123422835.1
WP_123422835.1	WP_012603856.1
WP_123889608.1	WP_123889608.1
WP_124942102.1	WP_124942102.1
WP_126053351.1	WP_126053351.1
WP_126174372.1	WP_126174372.1
WP_126192063.1	WP_126192063.1
WP_126529146.1	WP_126529146.1
WP_126740666.1	WP_126740666.1
WP_126740666.1	WP_126562050.1
WP_126849276.1	WP_126849276.1
WP_127581711.1	WP_127581711.1
WP_127708156.1	WP_127708156.1
WP_128209340.1	WP_128209340.1
WP_128324686.1	WP_128324686.1
WP_128461090.1	WP_128461090.1
WP_129125929.1	WP_129125929.1
WP_129253161.1	WP_129253161.1
WP_129253161.1	WP_127341525.1
WP_129382697.1	WP_129382697.1
WP_129382697.1	WP_223175459.1
WP_179930032.1	WP_179930032.1
WP_180022219.1	WP_180022219.1
WP_180037013.1	WP_180037013.1
WP_180100963.1	WP_180100963.1
WP_180160489.1	WP_180160489.1
WP_181109431.1	WP_181109431.1
WP_181176079.1	WP_181176079.1
WP_181546706.1	WP_181546706.1
WP_182396743.1	WP_182396743.1
WP_182581961.1	WP_182581961.1
WP_182692502.1	WP_182692502.1
WP_182692502.1	WP_182677517.1
WP_182700013.1	WP_182700013.1
WP_182744478.1	WP_182744478.1
WP_182818595.1	WP_182818595.1
WP_183932788.1	WP_183932788.1
WP_185779213.1	WP_185779213.1
WP_185884370.1	WP_185884370.1
WP_186408854.1	WP_186408854.1
WP_186862144.1	WP_186862144.1
WP_187625910.1	WP_187625910.1
WP_188139679.1	WP_188139679.1
WP_188723968.1	WP_188723968.1
WP_188740824.1	WP_188740824.1
WP_189379507.1	WP_189379507.1
WP_189433640.1	WP_189433640.1
WP_189585135.1	WP_189585135.1
WP_189770858.1	WP_189770858.1
WP_192565714.1	WP_192565714.1
WP_192848975.1	WP_192848975.1
WP_192848975.1	WP_182859529.1
WP_192848975.1	WP_182970870.1
WP_192937324.1	WP_192937324.1
WP_193348116.1	WP_193348116.1
WP_193439612.1	WP_193439612.1
WP_194472684.1	WP_194472684.1
WP_194576612.1	WP_194576612.1
WP_194576612.1	WP_064626407.1
WP_194576612.1	WP_096037180.1
WP_194971157.1	WP_194971157.1
WP_195188724.1	WP_195188724.1
WP_195188724.1	WP_138243246.1
WP_195188724.1	WP_159074447.1
WP_196428447.1	WP_196428447.1
WP_196608577.1	WP_196608577.1
WP_197874783.1	WP_197874783.1
WP_227558564.1	WP_227558564.1
WP_227720461.1	WP_227720461.1
WP_227741109.1	WP_227741109.1
WP_227819897.1	WP_227819897.1
WP_228099643.1	WP_228099643.1
WP_228205235.1	WP_228205235.1
WP_228205235.1	WP_060445888.1
WP_228205235.1	WP_143779220.1
WP_228292680.1	WP_228292680.1
WP_228292680.1	WP_002441805.1
WP_228380305.1	WP_228380305.1
WP_228380305.1	WP_016253793.1
WP_228380305.1	WP_058133208.1
WP_228380305.1	WP_206778130.1
WP_228380305.1	WP_230965680.1
WP_228905315.1	WP_228905315.1
WP_229987897.1	WP_229987897.1
WP_230091298.1	WP_230091298.1
WP_230091298.1	WP_023086886.1
WP_230091298.1	WP_042173095.1
WP_230091298.1	WP_206425296.1
WP_230091298.1	WP_206693809.1
WP_230091298.1	WP_206778521.1
WP_230091298.1	WP_217492874.1
WP_230091298.1	WP_217989933.1
WP_230091298.1	WP_218035723.1
WP_230091298.1	WP_227343427.1
WP_230091298.1	WP_230964421.1
WP_230485848.1	WP_230485848.1
WP_230485848.1	WP_206668833.1
WP_230485848.1	WP_219856947.1
WP_230633444.1	WP_230633444.1
WP_231131826.1	WP_231131826.1
WP_231131826.1	WP_196713691.1
WP_231569023.1	WP_231569023.1
WP_232323303.1	WP_232323303.1
WP_000083328.1	WP_000083328.1
WP_000083328.1	WP_016505096.1
WP_000083328.1	WP_016505867.1
WP_000083328.1	WP_023138501.1
WP_000083328.1	WP_023194730.1
WP_000083328.1	WP_023205815.1
WP_000083328.1	WP_023254789.1
WP_000083328.1	WP_057515025.1
WP_000083328.1	WP_076737673.1
WP_000083328.1	WP_079980556.1
WP_000083328.1	WP_080190667.1
WP_000083328.1	WP_183073975.1
WP_000571926.1	WP_000571926.1
WP_001309195.1	WP_001309195.1
WP_001309195.1	WP_124046877.1
WP_001309195.1	WP_209303850.1
WP_001309195.1	WP_214657681.1
WP_001309195.1	WP_222178936.1
WP_001472886.1	WP_001472886.1
WP_001472886.1	WP_001556397.1
WP_001472886.1	WP_001774747.1
WP_001472886.1	WP_021548607.1
WP_001472886.1	WP_021565422.1
WP_001472886.1	WP_021578294.1
WP_001472886.1	WP_028131981.1
WP_001472886.1	WP_062892908.1
WP_001472886.1	WP_122985607.1
WP_001472886.1	WP_122997119.1
WP_001472886.1	WP_122999102.1
WP_001472886.1	WP_122999827.1
WP_001472886.1	WP_123004719.1
WP_001472886.1	WP_123005945.1
WP_001472886.1	WP_123010517.1
WP_001472886.1	WP_123059183.1
WP_001472886.1	WP_126502653.1
WP_001472886.1	WP_128759172.1
WP_001472886.1	WP_130204714.1
WP_001472886.1	WP_139614760.1
WP_001472886.1	WP_146313947.1
WP_001472886.1	WP_223719474.1
WP_001472886.1	WP_231331322.1
WP_001513100.1	WP_001513100.1
WP_001513100.1	WP_001529636.1
WP_001513100.1	WP_001565436.1
WP_001513100.1	WP_001605445.1
WP_001513100.1	WP_002431339.1
WP_001513100.1	WP_021549706.1
WP_001513100.1	WP_022646476.1
WP_001513100.1	WP_032185846.1
WP_001513100.1	WP_032316809.1
WP_001513100.1	WP_032346640.1
WP_001513100.1	WP_042348930.1
WP_001513100.1	WP_046076299.1
WP_001513100.1	WP_048814575.1
WP_001513100.1	WP_059331923.1
WP_001513100.1	WP_063625629.1
WP_001513100.1	WP_097336414.1
WP_001513100.1	WP_097746674.1
WP_001513100.1	WP_115445189.1
WP_001513100.1	WP_122987989.1
WP_001513100.1	WP_122993749.1
WP_001513100.1	WP_122996671.1
WP_001513100.1	WP_123003366.1
WP_001513100.1	WP_123009410.1
WP_001513100.1	WP_123009720.1
WP_001513100.1	WP_123026731.1
WP_001513100.1	WP_123059423.1
WP_001513100.1	WP_123059598.1
WP_001513100.1	WP_124061968.1
WP_001513100.1	WP_127791077.1
WP_001513100.1	WP_129015040.1
WP_001513100.1	WP_131199643.1
WP_001513100.1	WP_134265719.1
WP_001513100.1	WP_137689426.1
WP_001513100.1	WP_138679491.1
WP_001513100.1	WP_139303737.1
WP_001513100.1	WP_139968898.1
WP_001513100.1	WP_140422262.1
WP_001513100.1	WP_141034406.1
WP_001513100.1	WP_141218670.1
WP_001513100.1	WP_142457873.1
WP_001513100.1	WP_143354385.1
WP_001513100.1	WP_143365784.1
WP_001513100.1	WP_143369714.1
WP_001513100.1	WP_157729186.1
WP_001513100.1	WP_160451832.1
WP_001513100.1	WP_160454190.1
WP_001513100.1	WP_162630287.1
WP_001513100.1	WP_162721106.1
WP_001513100.1	WP_162721871.1
WP_001513100.1	WP_162749864.1
WP_001513100.1	WP_162790140.1
WP_001513100.1	WP_162814363.1
WP_001513100.1	WP_163369821.1
WP_001513100.1	WP_169062234.1
WP_001513100.1	WP_174592167.1
WP_001513100.1	WP_178319702.1
WP_001513100.1	WP_181202861.1
WP_001513100.1	WP_181465357.1
WP_001513100.1	WP_181575971.1
WP_001513100.1	WP_181590842.1
WP_001513100.1	WP_185168030.1
WP_001513100.1	WP_188001114.1
WP_001513100.1	WP_212590628.1
WP_001513100.1	WP_212591702.1
WP_001513100.1	WP_213058446.1
WP_001513100.1	WP_213059820.1
WP_001513100.1	WP_213695018.1
WP_001513100.1	WP_213897717.1
WP_001513100.1	WP_214275966.1
WP_001513100.1	WP_218067270.1
WP_001513100.1	WP_230076246.1
WP_001513100.1	WP_149856694.1
WP_001513100.1	WP_171871653.1
WP_001534450.1	WP_001534450.1
WP_001887822.1	WP_001887822.1
WP_001887822.1	WP_002043327.1
WP_001887822.1	WP_019830007.1
