Tree_representative	GenomeID	ContigID	ProteinID	gene_type	gene	start	end	strand	HMM_Annot_IDs	product_description	PlotLabel	fill	Cluster
WP_000213428.1	GCF_001410395.1	NZ_CZOD01000001.1	WP_000233263.1	CDS	NA	376741	377925	+	COG0738;K08153;COG2223;K18553	Fucose permease;Nitrate/nitrite transporter NarK	PF06779	NA	2
WP_000213428.1	GCF_001410395.1	NZ_CZOD01000001.1	WP_000068752.1	CDS	NA	378798	379469	+	PF07670	nucleoside recognition domain-containing protein	PF07670	NA	2
WP_000213428.1	GCF_001410395.1	NZ_CZOD01000001.1	WP_000211979.1	CDS	NA	379466	379927	+	COG0700;K06374	Spore maturation protein SpmB (function unknown)	PF07670	NA	2
WP_000213428.1	GCF_001410395.1	NZ_CZOD01000001.1	WP_001113058.1	CDS	iadA	379940	381112	+	PF12890;K01305;TIGR01975;COG0402	isoaspartyl dipeptidase IadA	iadA	NA	2
WP_000213428.1	GCF_001410395.1	NZ_CZOD01000001.1	WP_000383513.1	CDS	hypT	381231	382139	+	PF00126;PF03466	hypochlorite stress DNA-binding transcriptional regulator HypT	hypT	NA	2
WP_000213428.1	GCF_001410395.1	NZ_CZOD01000001.1	WP_000683248.1	CDS	NA	382145	382879	-	PF01177	aspartate/glutamate racemase family protein	PF01177	NA	2
WP_000213428.1	GCF_001410395.1	NZ_CZOD01000001.1	WP_000907667.1	CDS	NA	383118	383648	-	PF05638	Hcp family type VI secretion system effector	PF05638	NA	2
WP_000213428.1	GCF_001410395.1	NZ_CZOD01000001.1	WP_001094612.1	CDS	trpS	384366	385379	+	PF00579	tryptophan--tRNA ligase	trpS	NA	2
WP_000213428.1	GCF_001410395.1	NZ_CZOD01000001.1	WP_000841654.1	CDS	uxuR	385380	386153	-	PF00392;PF07729	Uxu operon transcriptional regulator	uxuR	NA	2
WP_000213428.1	GCF_001410395.1	NZ_CZOD01000001.1	WP_000588699.1	CDS	NA	386503	387177	+	PF01738;K01061;COG0412;TIGR03100	Dienelactone hydrolase	PF01738	NA	2
