RefseqID	Contig	TreeRepresentative	ProteinID	Taxid	Protein	PADLOC_HMM	Start	End	Strand	Name	Strain	AssemblyStatus	Group name	Domain/Realm name	Kingdom name	Phylum name	Class name	Order name	Family name	Genus name	Species name	representative_genome	Cluster	plasmid_score	virus_score	GEI
GCF_000006665.1	NC_002655.2	WP_020219138.1	WP_000383109.1	562	DruE3	DruE3_00003	5397246	5403560	+	Escherichia coli O157:H7 str. EDL933	strain=EDL933	Chromosome	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000006665.1	NC_002655.2	WP_133301053.1	WP_000960581.1	562	DruH3	DruH3_00004	5393887	5397246	+	Escherichia coli O157:H7 str. EDL933	strain=EDL933	Chromosome	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000008865.2	NC_002695.2	WP_020219138.1	NP_313287.1	562	DruE3	DruE3_00003	5367370	5373684	+	Escherichia coli O157:H7 str. Sakai	strain=Sakai substr. RIMD 0509952	Complete Genome	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000008865.2	NC_002695.2	WP_133301053.1	NP_313286.2	562	DruH3	DruH3_00004	5364011	5367370	+	Escherichia coli O157:H7 str. Sakai	strain=Sakai substr. RIMD 0509952	Complete Genome	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000011885.1	NC_006511.1	WP_000083328.1	WP_000083328.1	28901	DruH3	DruH3_00012	4488666	4491965	-	Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150	strain=ATCC 9150	Complete Genome	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	NA	2	NA	NA	NA
GCF_000011885.1	NC_006511.1	WP_000213428.1	WP_000213429.1	28901	DruE3	DruE3_00003	4482333	4488653	-	Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150	strain=ATCC 9150	Complete Genome	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	NA	2	NA	NA	NA
GCF_000018545.1	NC_012587.1	WP_012708748.1	WP_012708748.1	380	DruE3	DruE3_00003	2301572	2307700	+	Sinorhizobium fredii NGR234	strain=NGR234	Complete Genome	a-proteobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium fredii	Y	14	NA	NA	GEI
GCF_000018545.1	NC_012587.1	WP_164924409.1	WP_164924409.1	380	DruH3	DruH3_00002	2298144	2301575	+	Sinorhizobium fredii NGR234	strain=NGR234	Complete Genome	a-proteobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium fredii	Y	14	NA	NA	GEI
GCF_000019385.1	NC_010468.1	WP_020219138.1	WP_000383121.1	562	DruE3	DruE3_00003	4256022	4262336	-	Escherichia coli ATCC 8739	strain=ATCC 8739	Complete Genome	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000019385.1	NC_010468.1	WP_133301053.1	WP_012304922.1	562	DruH3	DruH3_00004	4262336	4265695	-	Escherichia coli ATCC 8739	strain=ATCC 8739	Complete Genome	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
